SampleName	uncal_BP	uncertainty	Notes
ARK017	3532	19	
CHC004	3645	33	
ARS007	2991	48	
KZL002	2491	33	
VEL003	3951	26	
GRH001	2707	20	
I2740	3060	30	
OOH003	3283	32	
KLE048	3417	27	
MIB054	3550	19	
KLE031	3548	34	
KLZ001	3793	25	
HOP004	3826	27	
HOP001	3837	24	
GRS004	4093	17	
KNK001	4158	26	
VLI092	4176	26	
I5884	4195	20	
Gyvakarai1	4030	30	Most recent C14 dating effort
KunilaII	3960	40	
GEN72	4176	28	
RK1001	4171	22	
1343UnTal85	3819	24	
6Post	3681	23	
RISE509	4186	27	
RISE505	3391	27	
GLZ001	4073	22	Adjusted for reservoir effect, original value: 4319, DOI: https://doi.org/10.1016/j.cell.2020.04.037
GLZ002	3960	22	Adjusted for reservoir effect, original value: 4369, DOI: https://doi.org/10.1016/j.cell.2020.04.037
HGC009	3621	22	
DSH008	3635	21	
DSH0025	3590	24	
C10098	3685	30	
RV2039	4349	33	Adjusted for reservoir effect, original value: 5049, DOI: https://doi.org/10.1017/S0003598X0005064X
Gok2	4368	27	
