Sample_Name	Name	Site	SiteA	Latitude	Longitude	Median_C14	Start_Range_C14	End_Range_C14	Sex	Dating	Branch	Published	Notes	Region	median_bce_date_calibrated
ARK017	ARK017	Arkaim	ARK	52.649261	59.571443	3789.0	3850	3728	NA	C14	LNBA	This study	None		-1841
HGC009	HGC009	Hagios Charalambos	HGC	35.1772505	25.4410963	3922.0	3944	3859	M	C14	LNBA	Neumann et al. (2022)	None		-1981
C10098	C10098	Charterhouse Warren	C	51.299	-2.715	4027.5	4145	3910	?	C14	LNBA	Swali et al. (2023)	None		-2080
DSH008	DSH008	Drasenhofen	C	48.758	16.651	3979.5	4078	3881	M	C14	LNBA	Neumann et al. (2023)	None		-1996
DSH025	DSH025	Drasenhofen	C	48.758	16.651	3905.0	3976	3834	M	C14	LNBA	Neumann et al. (2023)	None		-1943
MIB054	MIB054	Mikulovice (big)	MIB	49.99	15.77	3814.5	3899	3730	M	C14	LNBA	Andrades Valtueña et al. (2020)		West	-1897
HOP004	HOP004_merged	Hostivice-Palouky	HOP	50.08	14.28	4250.0	4400	4100	F	C14	LNBA	Andrades Valtueña et al. (2020)		West	-2265
KLE048	KLE048.A0101_trimmed	Kleinaitingen	KLE	48.21	10.84	3702.0	3818	3586	M	C14	LNBA	Andrades Valtueña et al. (2020)		West	-1708
HOP001	HOP001.A0102.YP1.2_trimmed.combined	Hostivice-Palouky	HOP	50.08	14.28	4278.5	4405	4152	M	C14	LNBA	Andrades Valtueña et al. (2020)		West	-2287
VLI092	VLI092.A0101	Vlineves	VLI	50.37	14.44	4725.5	4832	4619	M	C14	LNBA	Andrades Valtueña et al. (2020)		West	-2770
KZL002	KZL002_merged	Kyzyl	KZL	48.27	75.35	2596.5	2736	2457	F	C14	LNBA	Andrades Valtueña et al. (2020)	sex?	East	-635
GRS004	GRS004.A0101.YP1.1_trimmed	Großstorkwitz	GRS	51.18	12.26	4662.0	4800	4524	M	C14	LNBA	Andrades Valtueña et al. (2020)	mean	West	-2632
KLE031	KLE031.A0101_trimmed	Kleinaitingen	KLE	48.21	10.84	3839.5	3959	3720	F	C14	LNBA	Andrades Valtueña et al. (2020)		West	-1891
I2470	XXX001.A18956.61_merged	El Sotillo	ESO	42.57	-2.62	3271.0	3361	3181	M	C14	NoLNBA	Andrades Valtueña et al. (2020)		West	-1328
I5884	XXX001.A18962.69.72_merged	Dereivka I	DER	48.91	33.76	4487.0	4317	4624	M	BEAST	LNBA	Andrades Valtueña et al. (2020)	mean	Central	-2786
CHC004	CHC004.A0101	Chocivel	CHC	50.79	17.09	3979.0	4085	3873	M	C14	LNBA	Andrades Valtueña et al. (2020)		West	-2013
