sampleName	Host/vector
0.ANT1a_42013	Citellus undulatus 
0.ANT1b_CMCC49003	Citellus undulatus 
0.ANT1c_945	Human flea
0.ANT1d_164	Oropsylla silantiewi
0.ANT1e_CMCC8211	Citellophilus tesquorum
0.ANT1f_42095	Citellus undulatus 
0.ANT1g_CMCC42007	Marmota baibacina
0.ANT1h_CMCC43032	Oropsylla silantiewi
0.ANT2a_B42003004	Marmota baibacina
0.ANT2a_2330	Marmota baibacina
0.ANT3a_CMCC38001	Marmota baibacina
0.ANT3b_A1956001	Marmota caudata
0.ANT3c_42082	Citellus undulatus 
0.ANT3d_CMCC21106	Marmota baibacina 
0.ANT3e_42091b	Citellus undulatus 
0.PE2a_PestoidesF	
0.PE2b_G8786	Microtus. arvalis
0.PE3a_Angola	
0.PE4Aa_12	Patient
0.PE4Ab_9	Patient
0.PE4Ba_PestoidesA	
0.PE4Ca_CMCCN010025	Microtus fuscus
0.PE4_M0000002	Microtus fuscus
0.PE4Cc_CMCC18019	Microtus fuscus
0.PE4Cd_CMCC93014	Microtus brandti
0.PE4Ce_CMCC91090	Microtus brandti
0.PE4Cf_91001	Microtus brandti
0.PE7a_CMCC05009	Allactaga sibirica
0.PE7b_620024	Patient
1.ANTa_Antiqua	Patient
1.ANTb_UG05	Patient
1.IN1a_CMCC11001	Marmota himalayana
1.IN1b_780441	Marmota himalayana
1.IN1c_K21985002	Marmota himalayana
1.IN2a_CMCC640047	Patient
1.IN2b_30017	Marmota himalayana
1.IN2c_CMCC31004	Marmota himalayana
1.IN2d_C1975003	Ovis aries
1.IN2e_C1989001	Patient
1.IN2f_710317	Patient
1.IN2g_CMCC05013	Linognathoides palaearctus
1.IN2h_5	Patient
1.IN2i_CMCC10012	Ixodex crenulatus
1.IN2j_CMCC27002	Marmota himalayana
1.IN2k_970754	Ovis aries
1.IN2l_D1991004	Marmota himalayana
1.IN2m_D1964002b	Canis faliaris
1.IN2n_CMCC02041	Mustela eversmanni
1.IN2o_CMCC03001	Ochotona daurica
1.IN2p_D1982001	Patient
1.IN2q_D1964001	Marmota himalayana
