Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
0.ANT1a_42013	0.ANT1a_42013	1	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028674_SRR069110_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028674_SRR069110_2.fastq.gz	NA
0.ANT1b_CMCC49003	0.ANT1b_CMCC49003	2	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028731_SRR069167_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028731_SRR069167_2.fastq.gz	NA
0.ANT1c_945	0.ANT1c_945	3	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028696_SRR069132_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028696_SRR069132_2.fastq.gz	NA
0.ANT1d_164	0.ANT1d_164	4	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028660_SRR069096_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028660_SRR069096_2.fastq.gz	NA
0.ANT1e_CMCC8211	0.ANT1e_CMCC8211	5	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028740_SRR069176_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028740_SRR069176_2.fastq.gz	NA
0.ANT1f_42095	0.ANT1f_42095	6	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028678_SRR069114_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028678_SRR069114_2.fastq.gz	NA
0.ANT1g_CMCC42007	0.ANT1g_CMCC42007	7	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028727_SRR069163_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028727_SRR069163_2.fastq.gz	NA
0.ANT1h_CMCC43032	0.ANT1h_CMCC43032	8	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028728_SRR069164_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028728_SRR069164_2.fastq.gz	NA
0.ANT2a_2330	0.ANT2a_2330	9	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028662_SRR069098_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028662_SRR069098_2.fastq.gz	NA
0.ANT3a_CMCC38001	0.ANT3a_CMCC38001	10	4	PE	NA	double	none	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028725_SRR069161_1.fastq.gz	/ptmp/iclight/pestis_data_fetchngs/fastq/SRX028725_SRR069161_2.fastq.gz	NA
