sample_name	isolation_period	species	data_repo	accession	publication_reference
0.ANT1a_42013	Modern	Y. pestis	SRA	SRR069110	Cui et al. (2013)
0.ANT1b_CMCC49003	Modern	Y. pestis	SRA	SRR069167	Cui et al. (2013)
0.ANT1c_945	Modern	Y. pestis	SRA	SRR069132	Cui et al. (2013)
0.ANT1d_164	Modern	Y. pestis	SRA	SRR069096	Cui et al. (2013)
0.ANT1e_CMCC8211	Modern	Y. pestis	SRA	SRR069176	Cui et al. (2013)
0.ANT1f_42095	Modern	Y. pestis	SRA	SRR069114	Cui et al. (2013)
0.ANT1g_CMCC42007	Modern	Y. pestis	SRA	SRR069163	Cui et al. (2013)
0.ANT1h_CMCC43032	Modern	Y. pestis	SRA	SRR069164	Cui et al. (2013)
0.ANT2a_2330	Modern	Y. pestis	SRA	SRR069098	Cui et al. (2013)
0.ANT3a_CMCC38001	Modern	Y. pestis	SRA	SRR069161	Cui et al. (2013)
0.ANT3b_A1956001	Modern	Y. pestis	SRA	SRR069162	Cui et al. (2013)
0.ANT3c_42082	Modern	Y. pestis	SRA	SRR069111	Cui et al. (2013)
0.ANT3d_CMCC21106	Modern	Y. pestis	SRA	SRR069156	Cui et al. (2013)
0.ANT3e_42091b	Modern	Y. pestis	SRA	SRR069113	Cui et al. (2013)
0.PE2b_G8786	Modern	Y. pestis	SRA	SRR069198	Cui et al. (2013)
0.PE4_M0000002	Modern	Y. pestis	SRA	SRR069196	Cui et al. (2013)
0.PE4Aa_12	Modern	Y. pestis	SRA	SRR069094	Cui et al. (2013)
0.PE4Ab_9	Modern	Y. pestis	SRA	SRR069129	Cui et al. (2013)
0.PE4Ca_CMCCN010025	Modern	Y. pestis	SRA	SRR069195	Cui et al. (2013)
0.PE4Cc_CMCC18019	Modern	Y. pestis	SRA	SRR069155	Cui et al. (2013)
0.PE4Cd_CMCC93014	Modern	Y. pestis	SRA	SRR069187	Cui et al. (2013)
0.PE4Ce_CMCC91090	Modern	Y. pestis	SRA	SRR069184	Cui et al. (2013)
0.PE7b_620024	Modern	Y. pestis	SRA	SRR069117	Cui et al. (2013)
