GCF_000006645_00001 mioC
GCF_000006645_00002 asnC
GCF_000006645_00003 asnA
GCF_000006645_00004 group_2017
GCF_000006645_00005 ravA
GCF_000006645_00006 kup
GCF_000006645_00007 rbsD_2
GCF_000006645_00008 rbsK_2
GCF_000006645_00009 group_9668
GCF_000006645_00010 hsrA
GCF_000006645_00011 lldR
GCF_000006645_00018 group_4210
GCF_000006645_00019 metAS
GCF_000006645_00020 aceB
GCF_000006645_00021 aceA
GCF_000006645_00022 aceK
GCF_000006645_00023 iclR
GCF_000006645_00024 group_1519
GCF_000006645_00025 metH
GCF_000006645_00026 shlA_1
GCF_000006645_00027 group_430
GCF_000006645_00028 shlB_4
GCF_000006645_00029 lysC
GCF_000006645_00030 pgi
GCF_000006645_00031 psiE
GCF_000006645_00032 malG
GCF_000006645_00033 malF
GCF_000006645_00034 malE
GCF_000006645_00035 group_4211
GCF_000006645_00036 malK_1
GCF_000006645_00037 lamB_1
GCF_000006645_00038 group_2026
GCF_000006645_00039 group_1152
GCF_000006645_00040 hcpA_1
GCF_000006645_00041 group_9538
GCF_000006645_00042 group_9167
GCF_000006645_00043 group_9589
GCF_000006645_00044 group_571
GCF_000006645_00045 group_318
GCF_000006645_00046 group_8658
GCF_000006645_00047 group_8585
GCF_000006645_00048 group_220
GCF_000006645_00049 zapB
GCF_000006645_00050 group_2029
GCF_000006645_00051 group_1153
GCF_000006645_00052 glpX
GCF_000006645_00053 fpr
GCF_000006645_00054 group_3144
GCF_000006645_00055 group_9634
GCF_000006645_00056 tpiA
GCF_000006645_00057 hdfR_3
GCF_000006645_00058 galB
GCF_000006645_00059 galC
GCF_000006645_00060 ybhI
GCF_000006645_00061 ais
GCF_000006645_00062 group_4212
GCF_000006645_00063 sbp
GCF_000006645_00064 pfkA
GCF_000006645_00065 fieF
GCF_000006645_00066 group_6982
GCF_000006645_00067 cpxP
GCF_000006645_00068 cpxR
GCF_000006645_00069 cpxA
GCF_000006645_00070 ada
GCF_000006645_00071 trmL
GCF_000006645_00072 cysE
GCF_000006645_00073 gpsA
GCF_000006645_00074 secB
GCF_000006645_00075 grxC
GCF_000006645_00076 yibN
GCF_000006645_00077 gpmI
GCF_000006645_00078 envC
GCF_000006645_00079 group_1524
GCF_000006645_00080 group_1525
GCF_000006645_00081 tdh
GCF_000006645_00082 kbl
GCF_000006645_00083 hldD
GCF_000006645_00084 rfaF
GCF_000006645_00085 rfaC
GCF_000006645_00086 waaA
GCF_000006645_00087 group_8141
GCF_000006645_00088 coaD
GCF_000006645_00089 mutM
GCF_000006645_00090 rpmG
GCF_000006645_00091 rpmB
GCF_000006645_00092 group_8029
GCF_000006645_00093 coaBC
GCF_000006645_00094 dut
GCF_000006645_00095 slmA
GCF_000006645_00096 pyrE_2
GCF_000006645_00097 rph
GCF_000006645_00098 group_3149
GCF_000006645_00099 group_2033
GCF_000006645_00100 ligB
GCF_000006645_00101 gmk
GCF_000006645_00102 rpoZ
GCF_000006645_00103 spoT
GCF_000006645_00104 trmH
GCF_000006645_00105 recG
GCF_000006645_00106 gltS
GCF_000006645_00107 group_2038
GCF_000006645_00108 group_9880
GCF_000006645_00109 group_9587
GCF_000006645_00110 group_32
GCF_000006645_00111 group_8672
GCF_000006645_00112 yqjG
GCF_000006645_00113 yhaJ
GCF_000006645_00114 yhaK
GCF_000006645_00115 rsmI
GCF_000006645_00116 group_1155
GCF_000006645_00117 group_7985
GCF_000006645_00118 diaA
GCF_000006645_00119 group_9665
GCF_000006645_00120 mtgA
GCF_000006645_00121 elbB
GCF_000006645_00122 arcB_2
GCF_000006645_00123 group_2943
GCF_000006645_00124 gltB
GCF_000006645_00125 gltD
GCF_000006645_00126 group_9824
GCF_000006645_00127 sspB
GCF_000006645_00128 sspA
GCF_000006645_00129 rpsI
GCF_000006645_00130 rplM
GCF_000006645_00131 zapE
GCF_000006645_00132 yhcB
GCF_000006645_00133 degQ
GCF_000006645_00134 group_9012
GCF_000006645_00135 degS
GCF_000006645_00136 murA
GCF_000006645_00137 ibaG
GCF_000006645_00138 mlaB
GCF_000006645_00139 mlaC
GCF_000006645_00140 mlaD
GCF_000006645_00141 mlaE
GCF_000006645_00142 mlaF
GCF_000006645_00143 yrbG
GCF_000006645_00144 kdsD
GCF_000006645_00145 kdsC
GCF_000006645_00146 lptC
GCF_000006645_00147 lptA
GCF_000006645_00148 lptB_2
GCF_000006645_00149 rpoN
GCF_000006645_00150 hpf
GCF_000006645_00151 ptsN
GCF_000006645_00152 rapZ
GCF_000006645_00153 ptsO
GCF_000006645_00154 pyrB
GCF_000006645_00155 pyrI
GCF_000006645_00156 ridA_2
GCF_000006645_00157 group_2049
GCF_000006645_00158 treR
GCF_000006645_00159 treB
GCF_000006645_00160 treC
GCF_000006645_00161 rnk
GCF_000006645_00162 cybC_2
GCF_000006645_00163 group_3153
GCF_000006645_00164 pmbA
GCF_000006645_00165 group_3154
GCF_000006645_00166 yhcO
GCF_000006645_00167 group_9282
GCF_000006645_00168 gabD
GCF_000006645_00169 group_2051
GCF_000006645_00170 aaeB
GCF_000006645_00171 aaeA
GCF_000006645_00172 aaeX
GCF_000006645_00173 dmlR_1
GCF_000006645_00174 group_1526
GCF_000006645_00175 group_855
GCF_000006645_00176 yenA2_1
GCF_000006645_00177 yenB
GCF_000006645_00178 group_3156
GCF_000006645_00179 group_1158
GCF_000006645_00180 group_1527
GCF_000006645_00181 group_564
GCF_000006645_00182 yenC1
GCF_000006645_00183 tldD
GCF_000006645_00184 nit1
GCF_000006645_00185 group_873
GCF_000006645_00186 rng
GCF_000006645_00187 yhdE
GCF_000006645_00188 mreD
GCF_000006645_00189 mreC
GCF_000006645_00190 mreB
GCF_000006645_00191 csrD
GCF_000006645_00192 acuI
GCF_000006645_00193 msrP
GCF_000006645_00194 msrQ
GCF_000006645_00195 aroQ
GCF_000006645_00196 accB
GCF_000006645_00197 accC
GCF_000006645_00198 group_2052
GCF_000006645_00199 yhdT
GCF_000006645_00200 panF
GCF_000006645_00201 prmA
GCF_000006645_00202 dusB
GCF_000006645_00203 fis
GCF_000006645_00204 group_3158
GCF_000006645_00205 mcbR
GCF_000006645_00206 proP_2
GCF_000006645_00207 group_3159
GCF_000006645_00208 Hgd
GCF_000006645_00209 group_8834
GCF_000006645_00210 slyB_1
GCF_000006645_00211 cspG_2
GCF_000006645_00212 group_9781
GCF_000006645_00214 group_9324
GCF_000006645_00215 group_2054
GCF_000006645_00216 yghU
GCF_000006645_00217 kpsF
GCF_000006645_00218 araB_2
GCF_000006645_00219 rbsC_3
GCF_000006645_00220 group_6729
GCF_000006645_00221 rbsA_8
GCF_000006645_00222 group_9402
GCF_000006645_00223 lpxP
GCF_000006645_00224 group_8831
GCF_000006645_00225 nhaK
GCF_000006645_00226 ghxP
GCF_000006645_00227 dinJ
GCF_000006645_00228 ssuB
GCF_000006645_00229 ssuC_2
GCF_000006645_00230 ssuD
GCF_000006645_00231 ssuA
GCF_000006645_00232 ssuE
GCF_000006645_00233 group_4215
GCF_000006645_00234 rbsK_1
GCF_000006645_00235 rbsD_1
GCF_000006645_00236 btr
GCF_000006645_00237 apsD
GCF_000006645_00238 group_4218
GCF_000006645_00239 group_4219
GCF_000006645_00240 rhsC_1
GCF_000006645_00241 group_4220
GCF_000006645_00242 vgrG1
GCF_000006645_00243 group_434
GCF_000006645_00244 group_1159
GCF_000006645_00245 group_4221
GCF_000006645_00246 symE
GCF_000006645_00247 group_686
GCF_000006645_00248 group_4223
GCF_000006645_00249 rhsC
GCF_000006645_00250 rhsB
GCF_000006645_00251 group_3161
GCF_000006645_00252 vgrG1_2
GCF_000006645_00253 group_1162
GCF_000006645_00254 group_4224
GCF_000006645_00255 group_875
GCF_000006645_00256 group_876
GCF_000006645_00257 group_6731
GCF_000006645_00258 group_1535
GCF_000006645_00259 group_4225
GCF_000006645_00260 group_2060
GCF_000006645_00261 group_4226
GCF_000006645_00262 group_4227
GCF_000006645_00263 group_4228
GCF_000006645_00264 group_3163
GCF_000006645_00265 group_3164
GCF_000006645_00266 group_568
GCF_000006645_00267 group_9122
GCF_000006645_00270 apxIB_2
GCF_000006645_00271 cvaA
GCF_000006645_00272 group_9793
GCF_000006645_00273 group_9045
GCF_000006645_00274 rraA
GCF_000006645_00275 menA
GCF_000006645_00276 hslU
GCF_000006645_00277 hslV
GCF_000006645_00278 ftsN
GCF_000006645_00279 cytR_3
GCF_000006645_00280 group_4229
GCF_000006645_00281 priA
GCF_000006645_00282 rpmE
GCF_000006645_00283 yiaA
GCF_000006645_00284 metJ
GCF_000006645_00285 metB
GCF_000006645_00286 metB_1
GCF_000006645_00287 metL
GCF_000006645_00288 metF_2
GCF_000006645_00289 group_306
GCF_000006645_00290 group_9124
GCF_000006645_00291 ppc
GCF_000006645_00292 group_2062
GCF_000006645_00293 argC
GCF_000006645_00294 argB
GCF_000006645_00295 argH
GCF_000006645_00296 group_4230
GCF_000006645_00297 tdhA
GCF_000006645_00298 hasA
GCF_000006645_00299 prsD
GCF_000006645_00300 prsE
GCF_000006645_00301 group_9889
GCF_000006645_00302 lpd
GCF_000006645_00303 PGdx
GCF_000006645_00304 oxyR
GCF_000006645_00305 sthA
GCF_000006645_00306 group_4232
GCF_000006645_00307 fabR
GCF_000006645_00308 yijD
GCF_000006645_00309 trmA
GCF_000006645_00310 btuB_2
GCF_000006645_00311 murI
GCF_000006645_00318 ytfQ
GCF_000006645_00319 fruK_1
GCF_000006645_00320 ytfT
GCF_000006645_00321 yjfF
GCF_000006645_00322 hdfR_2
GCF_000006645_00323 group_8026
GCF_000006645_00324 comM
GCF_000006645_00325 ilvG
GCF_000006645_00326 ilvM
GCF_000006645_00327 ilvE
GCF_000006645_00328 ilvD
GCF_000006645_00329 ilvA
GCF_000006645_00330 group_2069
GCF_000006645_00331 group_1536
GCF_000006645_00332 group_1537
GCF_000006645_00333 group_1169
GCF_000006645_00334 group_1172
GCF_000006645_00335 group_4234
GCF_000006645_00336 cynR
GCF_000006645_00337 ilvC
GCF_000006645_00338 group_561
GCF_000006645_00339 group_4235
GCF_000006645_00340 col
GCF_000006645_00341 imm
GCF_000006645_00342 yadV_6
GCF_000006645_00343 group_8564
GCF_000006645_00344 group_1117
GCF_000006645_00345 yadV_1
GCF_000006645_00346 sfaA
GCF_000006645_00347 group_124
GCF_000006645_00348 group_2070
GCF_000006645_00349 ppiC
GCF_000006645_00350 rep
GCF_000006645_00351 gppA
GCF_000006645_00352 gppA_2
GCF_000006645_00353 rhlB
GCF_000006645_00354 trxA
GCF_000006645_00355 rho
GCF_000006645_00356 wecA
GCF_000006645_00357 wzzE
GCF_000006645_00358 wecB
GCF_000006645_00359 wecC
GCF_000006645_00360 rffG
GCF_000006645_00361 rffH
